GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2014,STR Renault,8,4
Malaysia,30 Mar 2014,STR Renault,DNF,0
Bahrain,06 Apr 2014,STR Renault,DNF,0
China,20 Apr 2014,STR Renault,12,0
Spain,11 May 2014,STR Renault,DNF,0
Monaco,25 May 2014,STR Renault,DNF,0
Canada,08 Jun 2014,STR Renault,8,4
Austria,22 Jun 2014,STR Renault,DNF,0
Great Britain,06 Jul 2014,STR Renault,10,1
Germany,20 Jul 2014,STR Renault,13,0
Hungary,27 Jul 2014,STR Renault,9,2
Belgium,24 Aug 2014,STR Renault,11,0
Italy,07 Sep 2014,STR Renault,13,0
Singapore,21 Sep 2014,STR Renault,6,8
Japan,05 Oct 2014,STR Renault,9,2
Russia,21 Oct 2014,STR Renault,13,0
United States,02 Nov 2014,STR Renault,10,1
Brazil,09 Nov 2014,STR Renault,13,0
Abu Dhabi,23 Nov 2014,STR Renault,12,0
