GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,01 Mar 1992,McLaren Honda,3,4
Mexico,22 Mar 1992,McLaren Honda,DNF,0
Brazil,05 Apr 1992,McLaren Honda,DNF,0
Spain,03 May 1992,McLaren Honda,DNF,0
San Marino,17 May 1992,McLaren Honda,3,4
Monaco,31 May 1992,McLaren Honda,1,10
Canada,14 Jun 1992,McLaren Honda,DNF,0
Great Britain,12 Jul 1992,McLaren Honda,DNF,0
Germany,26 Jul 1992,McLaren Honda,2,6
Hungary,16 Aug 1992,McLaren Honda,1,10
Belgium,30 Aug 1992,McLaren Honda,5,2
Italy,13 Sep 1992,McLaren Honda,1,10
Portugal,27 Sep 1992,McLaren Honda,3,4
Japan,25 Oct 1992,McLaren Honda,DNF,0
Australia,08 Nov 1992,McLaren Honda,DNF,0
