GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,01 Mar 1992,Ligier Renault,DNF,0
Mexico,22 Mar 1992,Ligier Renault,10,0
Brazil,05 Apr 1992,Ligier Renault,DNF,0
Spain,03 May 1992,Ligier Renault,DNF,0
San Marino,17 May 1992,Ligier Renault,DNF,0
Monaco,31 May 1992,Ligier Renault,12,0
Canada,14 Jun 1992,Ligier Renault,10,0
France,05 Jul 1992,Ligier Renault,DNF,0
Great Britain,12 Jul 1992,Ligier Renault,10,0
Germany,26 Jul 1992,Ligier Renault,7,0
Belgium,30 Aug 1992,Ligier Renault,DNF,0
Italy,13 Sep 1992,Ligier Renault,DNF,0
Portugal,27 Sep 1992,Ligier Renault,8,0
Japan,25 Oct 1992,Ligier Renault,DNF,0
Australia,08 Nov 1992,Ligier Renault,5,2
