GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,25 Mar 2018,Sauber Ferrari,13,0
Bahrain,08 Apr 2018,Sauber Ferrari,12,0
China,15 Apr 2018,Sauber Ferrari,19,0
Azerbaijan,29 Apr 2018,Sauber Ferrari,6,8
Spain,13 May 2018,Sauber Ferrari,10,1
Monaco,27 May 2018,Sauber Ferrari,DNF,0
Canada,10 Jun 2018,Sauber Ferrari,10,1
France,24 Jun 2018,Sauber Ferrari,10,1
Austria,01 Jul 2018,Sauber Ferrari,9,2
Great Britain,08 Jul 2018,Sauber Ferrari,DNF,0
Germany,22 Jul 2018,Sauber Ferrari,15,0
Hungary,29 Jul 2018,Sauber Ferrari,DNF,0
Belgium,26 Aug 2018,Sauber Ferrari,DNF,0
Italy,02 Sep 2018,Sauber Ferrari,11,0
Singapore,16 Sep 2018,Sauber Ferrari,9,2
Russia,30 Sep 2018,Sauber Ferrari,7,6
Japan,07 Oct 2018,Sauber Ferrari,DNF,0
United States,21 Oct 2018,Sauber Ferrari,DNF,0
Mexico,28 Oct 2018,Sauber Ferrari,7,6
Brazil,11 Nov 2018,Sauber Ferrari,7,6
Abu Dhabi,25 Nov 2018,Sauber Ferrari,7,6
