GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,25 Mar 2018,Haas Ferrari,DNF,0
Bahrain,08 Apr 2018,Haas Ferrari,13,0
China,15 Apr 2018,Haas Ferrari,17,0
Azerbaijan,29 Apr 2018,Haas Ferrari,DNF,0
Spain,13 May 2018,Haas Ferrari,DNF,0
Monaco,27 May 2018,Haas Ferrari,15,0
Canada,10 Jun 2018,Haas Ferrari,12,0
France,24 Jun 2018,Haas Ferrari,11,0
Austria,01 Jul 2018,Haas Ferrari,4,12
Great Britain,08 Jul 2018,Haas Ferrari,DNF,0
Germany,22 Jul 2018,Haas Ferrari,6,8
Hungary,29 Jul 2018,Haas Ferrari,10,1
Belgium,26 Aug 2018,Haas Ferrari,7,6
Italy,02 Sep 2018,Haas Ferrari,DSQ,0
Singapore,16 Sep 2018,Haas Ferrari,15,0
Russia,30 Sep 2018,Haas Ferrari,11,0
Japan,07 Oct 2018,Haas Ferrari,8,4
United States,21 Oct 2018,Haas Ferrari,DNF,0
Mexico,28 Oct 2018,Haas Ferrari,16,0
Brazil,11 Nov 2018,Haas Ferrari,8,4
Abu Dhabi,25 Nov 2018,Haas Ferrari,9,2
