GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,12 Mar 2000,Ferrari,1,10
Brazil,26 Mar 2000,Ferrari,1,10
San Marino,09 Apr 2000,Ferrari,1,10
Great Britain,23 Apr 2000,Ferrari,3,4
Spain,07 May 2000,Ferrari,5,2
Europe,21 May 2000,Ferrari,1,10
Monaco,04 Jun 2000,Ferrari,DNF,0
Canada,18 Jun 2000,Ferrari,1,10
France,02 Jul 2000,Ferrari,DNF,0
Austria,16 Jul 2000,Ferrari,DNF,0
Germany,30 Jul 2000,Ferrari,DNF,0
Hungary,13 Aug 2000,Ferrari,2,6
Belgium,27 Aug 2000,Ferrari,2,6
Italy,10 Sep 2000,Ferrari,1,10
United States,24 Sep 2000,Ferrari,1,10
Japan,08 Oct 2000,Ferrari,1,10
Malaysia,22 Oct 2000,Ferrari,1,10
