GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,12 Mar 2000,Sauber Petronas,DNF,0
San Marino,09 Apr 2000,Sauber Petronas,8,0
Great Britain,23 Apr 2000,Sauber Petronas,11,0
Spain,07 May 2000,Sauber Petronas,DNF,0
Europe,21 May 2000,Sauber Petronas,7,0
Monaco,04 Jun 2000,Sauber Petronas,DNF,0
Canada,18 Jun 2000,Sauber Petronas,10,0
France,02 Jul 2000,Sauber Petronas,11,0
Austria,16 Jul 2000,Sauber Petronas,9,0
Germany,30 Jul 2000,Sauber Petronas,DNF,0
Hungary,13 Aug 2000,Sauber Petronas,DNF,0
Belgium,27 Aug 2000,Sauber Petronas,11,0
Italy,10 Sep 2000,Sauber Petronas,8,0
United States,24 Sep 2000,Sauber Petronas,8,0
Japan,08 Oct 2000,Sauber Petronas,11,0
Malaysia,22 Oct 2000,Sauber Petronas,DNF,0
