GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,20 Mar 2016,McLaren Honda,DNF,0
China,17 Apr 2016,McLaren Honda,12,0
Russia,01 May 2016,McLaren Honda,6,8
Spain,15 May 2016,McLaren Honda,DNF,0
Monaco,29 May 2016,McLaren Honda,5,10
Canada,12 Jun 2016,McLaren Honda,11,0
Europe,19 Jun 2016,McLaren Honda,DNF,0
Austria,03 Jul 2016,McLaren Honda,DNF,0
Great Britain,10 Jul 2016,McLaren Honda,13,0
Hungary,24 Jul 2016,McLaren Honda,7,6
Germany,31 Jul 2016,McLaren Honda,12,0
Belgium,28 Aug 2016,McLaren Honda,7,6
Italy,04 Sep 2016,McLaren Honda,14,0
Singapore,18 Sep 2016,McLaren Honda,7,6
Malaysia,02 Oct 2016,McLaren Honda,7,6
Japan,09 Oct 2016,McLaren Honda,16,0
United States,23 Oct 2016,McLaren Honda,5,10
Mexico,30 Oct 2016,McLaren Honda,13,0
Brazil,13 Nov 2016,McLaren Honda,10,1
Abu Dhabi,27 Nov 2016,McLaren Honda,10,1
