Grand Prix,Date,Winner,Car,Laps,Time
Australia,26 Mar 2017,Sebastian Vettel,Ferrari,57,1:24:11.672
China,09 Apr 2017,Lewis Hamilton,Mercedes,56,1:37:36.158
Bahrain,16 Apr 2017,Sebastian Vettel,Ferrari,57,1:33:53.374
Russia,30 Apr 2017,Valtteri Bottas,Mercedes,52,1:28:08.743
Spain,14 May 2017,Lewis Hamilton,Mercedes,66,1:35:56.497
Monaco,28 May 2017,Sebastian Vettel,Ferrari,78,1:44:44.340
Canada,11 Jun 2017,Lewis Hamilton,Mercedes,70,1:33:05.154
Azerbaijan,25 Jun 2017,Daniel Ricciardo,Red Bull Racing TAG Heuer,51,2:03:55.573
Austria,09 Jul 2017,Valtteri Bottas,Mercedes,71,1:21:48.523
Great Britain,16 Jul 2017,Lewis Hamilton,Mercedes,51,1:21:27.430
Hungary,30 Jul 2017,Sebastian Vettel,Ferrari,70,1:39:46.713
Belgium,27 Aug 2017,Lewis Hamilton,Mercedes,44,1:24:42.820
Italy,03 Sep 2017,Lewis Hamilton,Mercedes,53,1:15:32.312
Singapore,17 Sep 2017,Lewis Hamilton,Mercedes,58,2:03:23.544
Malaysia,01 Oct 2017,Max Verstappen,Red Bull Racing TAG Heuer,56,1:30:01.290
Japan,08 Oct 2017,Lewis Hamilton,Mercedes,53,1:27:31.194
United States,22 Oct 2017,Lewis Hamilton,Mercedes,56,1:33:50.991
Mexico,29 Oct 2017,Max Verstappen,Red Bull Racing TAG Heuer,71,1:36:26.552
Brazil,12 Nov 2017,Sebastian Vettel,Ferrari,71,1:31:26.262
Abu Dhabi,26 Nov 2017,Valtteri Bottas,Mercedes,55,1:34:14.062
