GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 1997,Stewart Ford,DNF,0
Brazil,30 Mar 1997,Stewart Ford,DNF,0
Argentina,13 Apr 1997,Stewart Ford,DNF,0
San Marino,27 Apr 1997,Stewart Ford,DNF,0
Monaco,11 May 1997,Stewart Ford,2,6
Spain,25 May 1997,Stewart Ford,DNF,0
Canada,15 Jun 1997,Stewart Ford,DNF,0
France,29 Jun 1997,Stewart Ford,DNF,0
Great Britain,13 Jul 1997,Stewart Ford,DNF,0
Germany,27 Jul 1997,Stewart Ford,DNF,0
Hungary,10 Aug 1997,Stewart Ford,DNF,0
Belgium,24 Aug 1997,Stewart Ford,DNF,0
Italy,07 Sep 1997,Stewart Ford,13,0
Austria,21 Sep 1997,Stewart Ford,DNF,0
Luxembourg,28 Sep 1997,Stewart Ford,DNF,0
Japan,12 Oct 1997,Stewart Ford,DNF,0
Europe,26 Oct 1997,Stewart Ford,DNF,0
