GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,09 Mar 2003,Jaguar Cosworth,DNF,0
Malaysia,23 Mar 2003,Jaguar Cosworth,DNF,0
Brazil,06 Apr 2003,Jaguar Cosworth,DNF,0
San Marino,20 Apr 2003,Jaguar Cosworth,DNF,0
Spain,04 May 2003,Jaguar Cosworth,7,2
Austria,18 May 2003,Jaguar Cosworth,7,2
Monaco,01 Jun 2003,Jaguar Cosworth,DNF,0
Canada,15 Jun 2003,Jaguar Cosworth,7,2
Europe,29 Jun 2003,Jaguar Cosworth,6,3
France,06 Jul 2003,Jaguar Cosworth,6,3
Great Britain,20 Jul 2003,Jaguar Cosworth,14,0
Germany,03 Aug 2003,Jaguar Cosworth,DNF,0
Hungary,24 Aug 2003,Jaguar Cosworth,6,3
Italy,14 Sep 2003,Jaguar Cosworth,7,2
United States,28 Sep 2003,Jaguar Cosworth,DNF,0
Japan,12 Oct 2003,Jaguar Cosworth,11,0
