GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,23 Mar 1986,Lola Hart,DNF,0
Spain,13 Apr 1986,Lola Hart,DNS,0
San Marino,27 Apr 1986,Lola Ford,DNF,0
Monaco,11 May 1986,Lola Ford,DNF,0
Belgium,25 May 1986,Lola Ford,DNF,0
Canada,15 Jun 1986,Lola Ford,10,0
Detroit,22 Jun 1986,Lola Ford,DNF,0
France,06 Jul 1986,Lola Ford,DNF,0
Great Britain,13 Jul 1986,Lola Ford,DNF,0
Germany,27 Jul 1986,Lola Ford,9,0
Hungary,10 Aug 1986,Lola Ford,DNF,0
Austria,17 Aug 1986,Lola Ford,4,3
Italy,07 Sep 1986,Lola Ford,6,1
Portugal,21 Sep 1986,Lola Ford,DNF,0
Mexico,12 Oct 1986,Lola Ford,DNF,0
Australia,26 Oct 1986,Lola Ford,DNF,0
