Grand Prix,Date,Winner,Car,Laps,Time
United States,11 Mar 1990,Ayrton Senna,McLaren Honda,72,1:52:32.829
Brazil,25 Mar 1990,Alain Prost,Ferrari,71,1:37:21.258
San Marino,13 May 1990,Riccardo Patrese,Williams Renault,61,1:30:55.478
Monaco,27 May 1990,Ayrton Senna,McLaren Honda,78,1:52:46.982
Canada,10 Jun 1990,Ayrton Senna,McLaren Honda,70,1:42:56.400
Mexico,24 Jun 1990,Alain Prost,Ferrari,69,1:32:35.783
France,08 Jul 1990,Alain Prost,Ferrari,80,1:33:29.606
Great Britain,15 Jul 1990,Alain Prost,Ferrari,64,1:18:30.999
Germany,29 Jul 1990,Ayrton Senna,McLaren Honda,45,1:20:47.164
Hungary,12 Aug 1990,Thierry Boutsen,Williams Renault,77,1:49:30.597
Belgium,26 Aug 1990,Ayrton Senna,McLaren Honda,44,1:26:31.997
Italy,09 Sep 1990,Ayrton Senna,McLaren Honda,53,1:17:57.878
Portugal,23 Sep 1990,Nigel Mansell,Ferrari,61,1:22:11.014
Spain,30 Sep 1990,Alain Prost,Ferrari,73,1:48:01.461
Japan,21 Oct 1990,Nelson Piquet,Benetton Ford,53,1:34:36.824
Australia,04 Nov 1990,Nelson Piquet,Benetton Ford,81,1:49:44.570
