GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,06 Mar 2005,Sauber Petronas,13,0
Malaysia,20 Mar 2005,Sauber Petronas,DNF,0
Bahrain,03 Apr 2005,Sauber Petronas,DNF,0
San Marino,24 Apr 2005,Sauber Petronas,4,5
Spain,08 May 2005,Sauber Petronas,DNF,0
Monaco,22 May 2005,Sauber Petronas,11,0
Europe,29 May 2005,Sauber Petronas,13,0
Canada,12 Jun 2005,Sauber Petronas,9,0
United States,19 Jun 2005,Sauber Petronas,DNF,0
France,03 Jul 2005,Sauber Petronas,8,1
Great Britain,10 Jul 2005,Sauber Petronas,14,0
Germany,24 Jul 2005,Sauber Petronas,15,0
Hungary,31 Jul 2005,Sauber Petronas,DNF,0
Turkey,21 Aug 2005,Sauber Petronas,11,0
Italy,04 Sep 2005,Sauber Petronas,11,0
Belgium,11 Sep 2005,Sauber Petronas,6,3
Brazil,25 Sep 2005,Sauber Petronas,12,0
Japan,09 Oct 2005,Sauber Petronas,12,0
China,16 Oct 2005,Sauber Petronas,10,0
