GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Austria,05 Jul 2020,Haas Ferrari,DNF,0
Styria,12 Jul 2020,Haas Ferrari,12,0
Hungary,19 Jul 2020,Haas Ferrari,10,1
Great Britain,02 Aug 2020,Haas Ferrari,DNF,0
70th Anniversary,09 Aug 2020,Haas Ferrari,DNF,0
Spain,16 Aug 2020,Haas Ferrari,15,0
Belgium,30 Aug 2020,Haas Ferrari,17,0
Italy,06 Sep 2020,Haas Ferrari,DNF,0
Tuscany,13 Sep 2020,Haas Ferrari,DNF,0
Russia,27 Sep 2020,Haas Ferrari,12,0
Eifel,11 Oct 2020,Haas Ferrari,13,0
Portugal,25 Oct 2020,Haas Ferrari,16,0
Emilia Romagna,01 Nov 2020,Haas Ferrari,DNF,0
Turkey,15 Nov 2020,Haas Ferrari,DNF,0
Bahrain,29 Nov 2020,Haas Ferrari,17,0
Sakhir,06 Dec 2020,Haas Ferrari,15,0
Abu Dhabi,13 Dec 2020,Haas Ferrari,18,0
