GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,17 Mar 2013,Williams Renault,14,0
Malaysia,24 Mar 2013,Williams Renault,11,0
China,14 Apr 2013,Williams Renault,13,0
Bahrain,21 Apr 2013,Williams Renault,14,0
Spain,12 May 2013,Williams Renault,16,0
Monaco,26 May 2013,Williams Renault,12,0
Canada,09 Jun 2013,Williams Renault,14,0
Great Britain,30 Jun 2013,Williams Renault,12,0
Germany,07 Jul 2013,Williams Renault,16,0
Hungary,28 Jul 2013,Williams Renault,DNF,0
Belgium,25 Aug 2013,Williams Renault,15,0
Italy,08 Sep 2013,Williams Renault,15,0
Singapore,22 Sep 2013,Williams Renault,13,0
South Korea,06 Oct 2013,Williams Renault,12,0
Japan,13 Oct 2013,Williams Renault,17,0
India,27 Oct 2013,Williams Renault,16,0
Abu Dhabi,03 Nov 2013,Williams Renault,15,0
United States,17 Nov 2013,Williams Renault,8,4
Brazil,24 Nov 2013,Williams Renault,DNF,0
