GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,17 Mar 2013,Force India Mercedes,8,4
Malaysia,24 Mar 2013,Force India Mercedes,DNF,0
China,14 Apr 2013,Force India Mercedes,8,4
Bahrain,21 Apr 2013,Force India Mercedes,4,12
Spain,12 May 2013,Force India Mercedes,7,6
Monaco,26 May 2013,Force India Mercedes,9,2
Canada,09 Jun 2013,Force India Mercedes,7,6
Great Britain,30 Jun 2013,Force India Mercedes,9,2
Germany,07 Jul 2013,Force India Mercedes,11,0
Hungary,28 Jul 2013,Force India Mercedes,DNF,0
Belgium,25 Aug 2013,Force India Mercedes,DNF,0
Italy,08 Sep 2013,Force India Mercedes,DNF,0
Singapore,22 Sep 2013,Force India Mercedes,DNF,0
South Korea,06 Oct 2013,Force India Mercedes,DNF,0
Japan,13 Oct 2013,Force India Mercedes,11,0
India,27 Oct 2013,Force India Mercedes,8,4
Abu Dhabi,03 Nov 2013,Force India Mercedes,6,8
United States,17 Nov 2013,Force India Mercedes,15,0
Brazil,24 Nov 2013,Force India Mercedes,11,0
