GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,17 Mar 2013,Sauber Ferrari,DNS,0
Malaysia,24 Mar 2013,Sauber Ferrari,8,4
China,14 Apr 2013,Sauber Ferrari,10,1
Bahrain,21 Apr 2013,Sauber Ferrari,12,0
Spain,12 May 2013,Sauber Ferrari,15,0
Monaco,26 May 2013,Sauber Ferrari,11,0
Canada,09 Jun 2013,Sauber Ferrari,DNF,0
Great Britain,30 Jun 2013,Sauber Ferrari,10,1
Germany,07 Jul 2013,Sauber Ferrari,10,1
Hungary,28 Jul 2013,Sauber Ferrari,11,0
Belgium,25 Aug 2013,Sauber Ferrari,13,0
Italy,08 Sep 2013,Sauber Ferrari,5,10
Singapore,22 Sep 2013,Sauber Ferrari,9,2
South Korea,06 Oct 2013,Sauber Ferrari,4,12
Japan,13 Oct 2013,Sauber Ferrari,6,8
India,27 Oct 2013,Sauber Ferrari,DNF,0
Abu Dhabi,03 Nov 2013,Sauber Ferrari,14,0
United States,17 Nov 2013,Sauber Ferrari,6,8
Brazil,24 Nov 2013,Sauber Ferrari,8,4
