GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,16 Mar 2008,McLaren Mercedes,5,4
Malaysia,23 Mar 2008,McLaren Mercedes,3,6
Bahrain,06 Apr 2008,McLaren Mercedes,5,4
Spain,27 Apr 2008,McLaren Mercedes,DNF,0
Turkey,11 May 2008,McLaren Mercedes,12,0
Monaco,25 May 2008,McLaren Mercedes,8,1
Canada,08 Jun 2008,McLaren Mercedes,9,0
France,22 Jun 2008,McLaren Mercedes,4,5
Great Britain,06 Jul 2008,McLaren Mercedes,5,4
Germany,20 Jul 2008,McLaren Mercedes,5,4
Hungary,03 Aug 2008,McLaren Mercedes,1,10
Europe,24 Aug 2008,McLaren Mercedes,4,5
Belgium,07 Sep 2008,McLaren Mercedes,DNF,0
Italy,14 Sep 2008,McLaren Mercedes,2,8
Singapore,28 Sep 2008,McLaren Mercedes,10,0
Japan,12 Oct 2008,McLaren Mercedes,DNF,0
China,19 Oct 2008,McLaren Mercedes,DNF,0
Brazil,02 Nov 2008,McLaren Mercedes,7,2
