GRAND PRIX,DRIVER,CAR,TIME
Australia,Valtteri Bottas,Mercedes,1:25.580
Bahrain,Charles Leclerc,Ferrari,1:33.411
China,Pierre Gasly,Red Bull Racing Honda,1:34.742
Azerbaijan,Charles Leclerc,Ferrari,1:43.009
Spain,Lewis Hamilton,Mercedes,1:18.492
Monaco,Pierre Gasly,Red Bull Racing Honda,1:14.279
Canada,Valtteri Bottas,Mercedes,1:13.078
France,Sebastian Vettel,Ferrari,1:32.740
Austria,Max Verstappen,Red Bull Racing Honda,1:07.475
Great Britain,Lewis Hamilton,Mercedes,1:27.369
Germany,Max Verstappen,Red Bull Racing Honda,1:16.645
Hungary,Max Verstappen,Red Bull Racing Honda,1:17.103
Belgium,Sebastian Vettel,Ferrari,1:46.409
Italy,Lewis Hamilton,Mercedes,1:21.779
Singapore,Kevin Magnussen,Haas Ferrari,1:42.301
Russia,Lewis Hamilton,Mercedes,1:35.761
Japan,Lewis Hamilton,Mercedes,1:30.983
Mexico,Charles Leclerc,Ferrari,1:19.232
United States,Charles Leclerc,Ferrari,1:36.169
Brazil,Valtteri Bottas,Mercedes,1:10.698
Abu Dhabi,Lewis Hamilton,Mercedes,1:39.283
