GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,12 Apr 1987,Brabham BMW,DNF,0
San Marino,03 May 1987,Brabham BMW,9,0
Belgium,17 May 1987,Brabham BMW,DNF,0
Monaco,31 May 1987,Brabham BMW,DNF,0
Detroit,21 Jun 1987,Brabham BMW,9,0
France,05 Jul 1987,Brabham BMW,DNF,0
Great Britain,12 Jul 1987,Brabham BMW,DNF,0
Germany,26 Jul 1987,Brabham BMW,DNF,0
Hungary,09 Aug 1987,Brabham BMW,5,2
Austria,16 Aug 1987,Brabham BMW,DNF,0
Italy,06 Sep 1987,Brabham BMW,DNF,0
Portugal,20 Sep 1987,Brabham BMW,DNF,0
Spain,27 Sep 1987,Brabham BMW,13,0
Mexico,18 Oct 1987,Brabham BMW,3,4
Japan,01 Nov 1987,Brabham BMW,DNF,0
Australia,15 Nov 1987,Williams Honda,DNF,0
