GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,04 Mar 2001,Jordan Honda,DNF,0
Malaysia,18 Mar 2001,Jordan Honda,8,0
Brazil,01 Apr 2001,Jordan Honda,5,2
San Marino,15 Apr 2001,Jordan Honda,5,2
Spain,29 Apr 2001,Jordan Honda,4,3
Monaco,27 May 2001,Jordan Honda,DNF,0
Canada,10 Jun 2001,Jordan Honda,DNF,0
Europe,24 Jun 2001,Jordan Honda,DNF,0
France,01 Jul 2001,Jordan Honda,5,2
Great Britain,15 Jul 2001,Jordan Honda,DNF,0
Germany,29 Jul 2001,Jordan Honda,DNF,0
Hungary,19 Aug 2001,Jordan Honda,DNF,0
Belgium,02 Sep 2001,Jordan Honda,DNF,0
Italy,16 Sep 2001,Jordan Honda,DNF,0
United States,30 Sep 2001,Jordan Honda,4,3
Japan,14 Oct 2001,Jordan Honda,8,0
