GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,07 Mar 1999,Prost Peugeot,DNF,0
Brazil,11 Apr 1999,Prost Peugeot,DNF,0
San Marino,02 May 1999,Prost Peugeot,DNF,0
Monaco,16 May 1999,Prost Peugeot,7,0
Spain,30 May 1999,Prost Peugeot,6,1
Canada,13 Jun 1999,Prost Peugeot,DNF,0
France,27 Jun 1999,Prost Peugeot,7,0
Great Britain,11 Jul 1999,Prost Peugeot,9,0
Austria,25 Jul 1999,Prost Peugeot,7,0
Germany,01 Aug 1999,Prost Peugeot,DNF,0
Hungary,15 Aug 1999,Prost Peugeot,8,0
Belgium,29 Aug 1999,Prost Peugeot,12,0
Italy,12 Sep 1999,Prost Peugeot,DNF,0
Europe,26 Sep 1999,Prost Peugeot,2,6
Malaysia,17 Oct 1999,Prost Peugeot,DNF,0
Japan,31 Oct 1999,Prost Peugeot,DNF,0
