GRAND PRIX,DATE,CAR,RACE POSITION,PTS
USA West,15 Mar 1981,Arrows Ford,DNF,0
Brazil,29 Mar 1981,Arrows Ford,3,4
Argentina,12 Apr 1981,Arrows Ford,7,0
San Marino,03 May 1981,Arrows Ford,2,6
Belgium,17 May 1981,Arrows Ford,DNF,0
Monaco,31 May 1981,Arrows Ford,DNF,0
Spain,21 Jun 1981,Arrows Ford,DNF,0
France,05 Jul 1981,Arrows Ford,14,0
Great Britain,18 Jul 1981,Arrows Ford,DNF,0
Germany,02 Aug 1981,Arrows Ford,DNF,0
Austria,16 Aug 1981,Arrows Ford,DNF,0
Netherlands,30 Aug 1981,Arrows Ford,DNF,0
Italy,13 Sep 1981,Arrows Ford,DNF,0
Canada,27 Sep 1981,Arrows Ford,DNF,0
Las Vegas,17 Oct 1981,Arrows Ford,11,0
