GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,07 Mar 1970,March Ford,3,4
Spain,19 Apr 1970,March Ford,1,9
Monaco,10 May 1970,March Ford,DNF,0
Belgium,07 Jun 1970,March Ford,DNF,0
Netherlands,21 Jun 1970,March Ford,2,6
France,05 Jul 1970,March Ford,9,0
Great Britain,18 Jul 1970,March Ford,DNF,0
Germany,02 Aug 1970,March Ford,DNF,0
Austria,16 Aug 1970,March Ford,DNF,0
Italy,06 Sep 1970,March Ford,2,6
Canada,20 Sep 1970,Tyrrell Ford,DNF,0
United States,04 Oct 1970,Tyrrell Ford,DNF,0
Mexico,25 Oct 1970,Tyrrell Ford,DNF,0
