GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28 Mar 2021,Alpine Renault,DNF,0
Emilia Romagna,18 Apr 2021,Alpine Renault,10,1
Portugal,02 May 2021,Alpine Renault,8,4
Spain,09 May 2021,Alpine Renault,17,0
Monaco,23 May 2021,Alpine Renault,13,0
Azerbaijan,06 Jun 2021,Alpine Renault,6,8
France,20 Jun 2021,Alpine Renault,8,4
Styria,27 Jun 2021,Alpine Renault,9,2
Austria,04 Jul 2021,Alpine Renault,10,1
Great Britain,18 Jul 2021,Alpine Renault,7,6
Hungary,01 Aug 2021,Alpine Renault,4,12
Belgium,29 Aug 2021,Alpine Renault,11,0
Netherlands,05 Sep 2021,Alpine Renault,6,8
Italy,12 Sep 2021,Alpine Renault,8,4
Russia,26 Sep 2021,Alpine Renault,6,8
Turkey,10 Oct 2021,Alpine Renault,16,0
United States,24 Oct 2021,Alpine Renault,DNF,0
Mexico,07 Nov 2021,Alpine Renault,9,2
Brazil,14 Nov 2021,Alpine Renault,9,2
Qatar,21 Nov 2021,Alpine Renault,3,15
Saudi Arabia,05 Dec 2021,Alpine Renault,13,0
Abu Dhabi,12 Dec 2021,Alpine Renault,8,4
