GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,13 Mar 1983,McLaren Ford,3,4
USA West,27 Mar 1983,McLaren Ford,2,6
France,17 Apr 1983,McLaren Ford,DNF,0
San Marino,01 May 1983,McLaren Ford,DNF,0
Belgium,22 May 1983,McLaren Ford,DNF,0
Detroit,05 Jun 1983,McLaren Ford,DNF,0
Canada,12 Jun 1983,McLaren Ford,DNF,0
Great Britain,16 Jul 1983,McLaren Ford,6,1
Austria,14 Aug 1983,McLaren Ford,6,1
Netherlands,28 Aug 1983,McLaren TAG,DNF,0
Italy,11 Sep 1983,McLaren TAG,DNF,0
Europe,25 Sep 1983,McLaren TAG,DNF,0
South Africa,15 Oct 1983,McLaren TAG,DNF,0
