GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,03 Apr 1988,Williams Judd,DNF,0
San Marino,01 May 1988,Williams Judd,13,0
Monaco,15 May 1988,Williams Judd,6,1
Mexico,29 May 1988,Williams Judd,DNF,0
Canada,12 Jun 1988,Williams Judd,DNF,0
Detroit,19 Jun 1988,Williams Judd,DNF,0
France,03 Jul 1988,Williams Judd,DNF,0
Great Britain,10 Jul 1988,Williams Judd,8,0
Germany,24 Jul 1988,Williams Judd,DNF,0
Hungary,07 Aug 1988,Williams Judd,6,1
Belgium,28 Aug 1988,Williams Judd,DNF,0
Italy,11 Sep 1988,Williams Judd,7,0
Portugal,25 Sep 1988,Williams Judd,DNF,0
Spain,02 Oct 1988,Williams Judd,5,2
Japan,30 Oct 1988,Williams Judd,6,1
Australia,13 Nov 1988,Williams Judd,4,3
