GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,03 Apr 1988,Lotus Honda,3,4
San Marino,01 May 1988,Lotus Honda,3,4
Mexico,29 May 1988,Lotus Honda,DNF,0
Canada,12 Jun 1988,Lotus Honda,4,3
Detroit,19 Jun 1988,Lotus Honda,DNF,0
France,03 Jul 1988,Lotus Honda,5,2
Great Britain,10 Jul 1988,Lotus Honda,5,2
Germany,24 Jul 1988,Lotus Honda,DNF,0
Hungary,07 Aug 1988,Lotus Honda,8,0
Belgium,28 Aug 1988,Lotus Honda,4,3
Italy,11 Sep 1988,Lotus Honda,DNF,0
Portugal,25 Sep 1988,Lotus Honda,DNF,0
Spain,02 Oct 1988,Lotus Honda,8,0
Japan,30 Oct 1988,Lotus Honda,DNF,0
Australia,13 Nov 1988,Lotus Honda,3,4
