Grand Prix,Date,Winner,Car,Laps,Time
Argentina,21 Jan 1979,Jacques Laffite,Ligier Ford,53,1:36:03.210
Brazil,04 Feb 1979,Jacques Laffite,Ligier Ford,40,1:40:09.640
South Africa,03 Mar 1979,Gilles Villeneuve,Ferrari,78,1:41:49.960
USA West,08 Apr 1979,Gilles Villeneuve,Ferrari,80,1:50:25.400
Spain,29 Apr 1979,Patrick Depailler,Ligier Ford,75,1:39:11.840
Belgium,13 May 1979,Jody Scheckter,Ferrari,70,1:39:59.530
Monaco,27 May 1979,Jody Scheckter,Ferrari,76,1:55:22.480
France,01 Jul 1979,Jean-Pierre Jabouille,Renault,80,1:35:20.420
Great Britain,14 Jul 1979,Clay Regazzoni,Williams Ford,68,1:26:11.170
Germany,29 Jul 1979,Alan Jones,Williams Ford,45,1:24:48.830
Austria,12 Aug 1979,Alan Jones,Williams Ford,54,1:27:38.010
Netherlands,26 Aug 1979,Alan Jones,Williams Ford,75,1:41:19.775
Italy,09 Sep 1979,Jody Scheckter,Ferrari,50,1:22:00.220
Canada,30 Sep 1979,Alan Jones,Williams Ford,72,1:52:06.892
USA East,07 Oct 1979,Gilles Villeneuve,Ferrari,59,1:52:17.734
