GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,15 Mar 2015,Lotus Mercedes,DNF,0
Malaysia,29 Mar 2015,Lotus Mercedes,11,0
China,12 Apr 2015,Lotus Mercedes,7,6
Bahrain,19 Apr 2015,Lotus Mercedes,7,6
Spain,10 May 2015,Lotus Mercedes,8,4
Monaco,24 May 2015,Lotus Mercedes,12,0
Canada,07 Jun 2015,Lotus Mercedes,10,1
Austria,21 Jun 2015,Lotus Mercedes,DNF,0
Great Britain,05 Jul 2015,Lotus Mercedes,DNF,0
Hungary,26 Jul 2015,Lotus Mercedes,7,6
Belgium,23 Aug 2015,Lotus Mercedes,3,15
Italy,06 Sep 2015,Lotus Mercedes,DNF,0
Singapore,20 Sep 2015,Lotus Mercedes,DNF,0
Japan,27 Sep 2015,Lotus Mercedes,7,6
Russia,11 Oct 2015,Lotus Mercedes,DNF,0
United States,25 Oct 2015,Lotus Mercedes,DNF,0
Mexico,01 Nov 2015,Lotus Mercedes,10,1
Brazil,15 Nov 2015,Lotus Mercedes,8,4
Abu Dhabi,29 Nov 2015,Lotus Mercedes,9,2
