GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,14 Mar 2010,Sauber Ferrari,DNF,0
Australia,28 Mar 2010,Sauber Ferrari,DNF,0
Malaysia,04 Apr 2010,Sauber Ferrari,DNF,0
China,18 Apr 2010,Sauber Ferrari,DNF,0
Spain,09 May 2010,Sauber Ferrari,12,0
Monaco,16 May 2010,Sauber Ferrari,DNF,0
Turkey,30 May 2010,Sauber Ferrari,10,1
Canada,13 Jun 2010,Sauber Ferrari,DNF,0
Europe,27 Jun 2010,Sauber Ferrari,7,6
Great Britain,11 Jul 2010,Sauber Ferrari,6,8
Germany,25 Jul 2010,Sauber Ferrari,11,0
Hungary,01 Aug 2010,Sauber Ferrari,9,2
Belgium,29 Aug 2010,Sauber Ferrari,8,4
Italy,12 Sep 2010,Sauber Ferrari,DNF,0
Singapore,26 Sep 2010,Sauber Ferrari,DNF,0
Japan,10 Oct 2010,Sauber Ferrari,7,6
South Korea,24 Oct 2010,Sauber Ferrari,8,4
Brazil,07 Nov 2010,Sauber Ferrari,10,1
Abu Dhabi,14 Nov 2010,Sauber Ferrari,14,0
