GRAND PRIX,DATE,PTS
Argentina,15 Jan 1978,9
Brazil,29 Jan 1978,3
South Africa,04 Mar 1978,9
USA West,02 Apr 1978,6
Monaco,07 May 1978,0
Belgium,21 May 1978,9
Spain,04 Jun 1978,9
Sweden,17 Jun 1978,4
France,02 Jul 1978,9
Great Britain,16 Jul 1978,0
Germany,30 Jul 1978,9
Austria,13 Aug 1978,9
Netherlands,27 Aug 1978,9
Italy,10 Sep 1978,1
USA East,01 Oct 1978,0
Canada,08 Oct 1978,0
