GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,27 Mar 1994,McLaren Peugeot,DNF,0
Pacific,17 Apr 1994,McLaren Peugeot,DNF,0
San Marino,01 May 1994,McLaren Peugeot,8,0
Monaco,15 May 1994,McLaren Peugeot,2,6
Spain,29 May 1994,McLaren Peugeot,DNF,0
Canada,12 Jun 1994,McLaren Peugeot,DNF,0
France,03 Jul 1994,McLaren Peugeot,DNF,0
Great Britain,10 Jul 1994,McLaren Peugeot,DNF,0
Germany,31 Jul 1994,McLaren Peugeot,DNF,0
Hungary,14 Aug 1994,McLaren Peugeot,DNF,3
Belgium,28 Aug 1994,McLaren Peugeot,DNF,0
Italy,11 Sep 1994,McLaren Peugeot,5,2
Portugal,25 Sep 1994,McLaren Peugeot,6,1
Europe,16 Oct 1994,McLaren Peugeot,DNF,0
Japan,06 Nov 1994,McLaren Peugeot,DNF,0
Australia,13 Nov 1994,McLaren Peugeot,3,4
