GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,27 Mar 1994,Ligier Renault,11,0
Pacific,17 Apr 1994,Ligier Renault,9,0
San Marino,01 May 1994,Ligier Renault,11,0
Monaco,15 May 1994,Ligier Renault,9,0
Spain,29 May 1994,Ligier Renault,7,0
Canada,12 Jun 1994,Ligier Renault,12,0
France,03 Jul 1994,Ligier Renault,DNF,0
Great Britain,10 Jul 1994,Ligier Renault,12,0
Germany,31 Jul 1994,Ligier Renault,2,6
Hungary,14 Aug 1994,Ligier Renault,6,1
Belgium,28 Aug 1994,Ligier Renault,7,0
Italy,11 Sep 1994,Ligier Renault,10,0
Europe,16 Oct 1994,Ligier Renault,9,0
Japan,06 Nov 1994,Ligier Renault,11,0
Australia,13 Nov 1994,Ligier Renault,5,2
