Grand Prix,Date,Winner,Car,Laps,Time
Brazil,13 Mar 1983,Nelson Piquet,Brabham BMW,63,1:48:27.731
USA West,27 Mar 1983,John Watson,McLaren Ford,75,1:53:34.889
France,17 Apr 1983,Alain Prost,Renault,54,1:34:13.913
San Marino,01 May 1983,Patrick Tambay,Ferrari,60,1:37:52.460
Monaco,15 May 1983,Keke Rosberg,Williams Ford,76,1:56:38.121
Belgium,22 May 1983,Alain Prost,Renault,40,1:27:11.502
Detroit,05 Jun 1983,Michele Alboreto,Tyrrell Ford,60,1:50:53.669
Canada,12 Jun 1983,Rene Arnoux,Ferrari,70,1:48:31.838
Great Britain,16 Jul 1983,Alain Prost,Renault,67,1:24:39.780
Germany,07 Aug 1983,Rene Arnoux,Ferrari,45,1:27:10.319
Austria,14 Aug 1983,Alain Prost,Renault,53,1:24:32.745
Netherlands,28 Aug 1983,Rene Arnoux,Ferrari,72,1:38:41.950
Italy,11 Sep 1983,Nelson Piquet,Brabham BMW,52,1:23:10.880
Europe,25 Sep 1983,Nelson Piquet,Brabham BMW,76,1:36:45.865
South Africa,15 Oct 1983,Riccardo Patrese,Brabham BMW,77,1:33:25.708
