GRAND PRIX,DRIVER,CAR,TIME
Australia,Rubens Barrichello,Ferrari,1:31.481
Brazil,Michael Schumacher,Ferrari,1:14.755
San Marino,Mika Hakkinen,McLaren Mercedes,1:26.523
Great Britain,Mika Hakkinen,McLaren Mercedes,1:26.217
Spain,Mika Hakkinen,McLaren Mercedes,1:24.470
Europe,Michael Schumacher,Ferrari,1:22.269
Monaco,Mika Hakkinen,McLaren Mercedes,1:21.571
Canada,Mika Hakkinen,McLaren Mercedes,1:19.049
France,David Coulthard,McLaren Mercedes,1:19.479
Austria,David Coulthard,McLaren Mercedes,1:11.783
Germany,Rubens Barrichello,Ferrari,1:44.300
Hungary,Mika Hakkinen,McLaren Mercedes,1:20.028
Belgium,Rubens Barrichello,Ferrari,1:53.803
Italy,Mika Hakkinen,McLaren Mercedes,1:25.595
United States,David Coulthard,McLaren Mercedes,1:14.711
Japan,Mika Hakkinen,McLaren Mercedes,1:39.189
Malaysia,Mika Hakkinen,McLaren Mercedes,1:38.543
