GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,08 Mar 1998,Arrows,DNF,0
Brazil,29 Mar 1998,Arrows,DNF,0
Argentina,12 Apr 1998,Arrows,DNF,0
San Marino,26 Apr 1998,Arrows,9,0
Spain,10 May 1998,Arrows,DNF,0
Monaco,24 May 1998,Arrows,4,3
Canada,07 Jun 1998,Arrows,DNF,0
France,28 Jun 1998,Arrows,13,0
Great Britain,12 Jul 1998,Arrows,DNF,0
Austria,26 Jul 1998,Arrows,DNF,0
Germany,02 Aug 1998,Arrows,14,0
Hungary,16 Aug 1998,Arrows,DNF,0
Italy,13 Sep 1998,Arrows,DNF,0
Luxembourg,27 Sep 1998,Arrows,14,0
Japan,01 Nov 1998,Arrows,DNF,0
