POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,53,1:37:11.024,25
2,5,Sebastian Vettel,Ferrari,53,+5.953s,18
3,11,Sergio Perez,Force India Mercedes,53,+28.918s,15
4,19,Felipe Massa,Williams Mercedes,53,+38.831s,12
5,26,Daniil Kvyat,Red Bull Racing Renault,53,+47.566s,10
6,12,Felipe Nasr,Sauber Ferrari,53,+56.508s,8
7,13,Pastor Maldonado,Lotus Mercedes,53,+61.088s,6
8,7,Kimi Räikkönen,Ferrari,53,+72.358s,4
9,22,Jenson Button,McLaren Honda,53,+79.467s,2
10,33,Max Verstappen,STR Renault,53,+88.424s,1
11,14,Fernando Alonso,McLaren Honda,53,+91.210s,0
12,77,Valtteri Bottas,Williams Mercedes,52,DNF,0
13,98,Roberto Merhi,Marussia Ferrari,52,+1 lap,0
14,28,Will Stevens,Marussia Ferrari,51,+2 laps,0
15,3,Daniel Ricciardo,Red Bull Racing Renault,47,DNF,0
NC,55,Carlos Sainz,STR Renault,45,DNF,0
NC,8,Romain Grosjean,Lotus Mercedes,11,DNF,0
NC,6,Nico Rosberg,Mercedes,7,DNF,0
NC,27,Nico Hulkenberg,Force India Mercedes,0,DNF,0
NC,9,Marcus Ericsson,Sauber Ferrari,0,DNF,0
