GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,25 Jan 1976,Penske Ford,DNF,0
South Africa,06 Mar 1976,Penske Ford,5,2
USA West,28 Mar 1976,Penske Ford,DNC,0
Spain,02 May 1976,Penske Ford,DNF,0
Belgium,16 May 1976,Penske Ford,7,0
Monaco,30 May 1976,Penske Ford,10,0
Sweden,13 Jun 1976,Penske Ford,DNF,0
France,04 Jul 1976,Penske Ford,3,4
Great Britain,18 Jul 1976,Penske Ford,3,4
Germany,01 Aug 1976,Penske Ford,7,0
Austria,15 Aug 1976,Penske Ford,1,9
Netherlands,29 Aug 1976,Penske Ford,DNF,0
Italy,12 Sep 1976,Penske Ford,11,0
Canada,03 Oct 1976,Penske Ford,10,0
USA East,10 Oct 1976,Penske Ford,6,1
Japan,24 Oct 1976,Penske Ford,DNF,0
