GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,25 Jan 1976,March Ford,4,3
South Africa,06 Mar 1976,March Ford,12,0
USA West,28 Mar 1976,March Ford,DNF,0
Spain,02 May 1976,March Ford,DNF,0
Belgium,16 May 1976,March Ford,DNF,0
Monaco,30 May 1976,March Ford,4,3
Sweden,13 Jun 1976,March Ford,DNF,0
France,04 Jul 1976,March Ford,7,0
Great Britain,18 Jul 1976,March Ford,DNF,0
Germany,01 Aug 1976,March Ford,DNF,0
Austria,15 Aug 1976,March Ford,DNF,0
Netherlands,29 Aug 1976,March Ford,DNF,0
Italy,12 Sep 1976,March Ford,DNF,0
Canada,03 Oct 1976,March Ford,DNF,0
USA East,10 Oct 1976,March Ford,5,2
Japan,24 Oct 1976,March Ford,DNF,0
