Grand Prix,Date,Winner,Car,Laps,Time
Monaco,14 May 1961,Stirling Moss,Lotus Climax,100,2:45:50.100
Netherlands,22 May 1961,Wolfgang von Trips,Ferrari,75,2:01:52.100
Belgium,18 Jun 1961,Phil Hill,Ferrari,30,2:03:03.800
France,02 Jul 1961,Giancarlo Baghetti,Ferrari,52,2:14:17.500
Great Britain,15 Jul 1961,Wolfgang von Trips,Ferrari,75,2:40:53.600
Germany,06 Aug 1961,Stirling Moss,Lotus Climax,15,2:18:12.400
Italy,10 Sep 1961,Phil Hill,Ferrari,43,2:03:13.000
United States,08 Oct 1961,Innes Ireland,Lotus Climax,100,2:13:45.800
