GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1995,Jordan Peugeot,DNF,0
Argentina,09 Apr 1995,Jordan Peugeot,,0
San Marino,30 Apr 1995,Jordan Peugeot,DNF,0
Spain,14 May 1995,Jordan Peugeot,7,0
Monaco,28 May 1995,Jordan Peugeot,DNF,0
Canada,11 Jun 1995,Jordan Peugeot,2,6
France,02 Jul 1995,Jordan Peugeot,6,1
Great Britain,16 Jul 1995,Jordan Peugeot,DNF,0
Germany,30 Jul 1995,Jordan Peugeot,DNF,0
Hungary,13 Aug 1995,Jordan Peugeot,7,0
Belgium,27 Aug 1995,Jordan Peugeot,6,1
Italy,10 Sep 1995,Jordan Peugeot,DNF,0
Portugal,24 Sep 1995,Jordan Peugeot,11,0
Europe,01 Oct 1995,Jordan Peugeot,4,3
Pacific,22 Oct 1995,Jordan Peugeot,DNF,0
Japan,29 Oct 1995,Jordan Peugeot,DNF,0
Australia,12 Nov 1995,Jordan Peugeot,DNF,0
