GRAND PRIX,DRIVER,CAR,TIME
Brazil,Nelson Piquet,Williams Honda,1:33.546
Spain,Nigel Mansell,Williams Honda,1:27.176
San Marino,Nelson Piquet,Williams Honda,1:28.667
Monaco,Alain Prost,McLaren TAG,1:26.607
Belgium,Alain Prost,McLaren TAG,1:59.282
Canada,Nelson Piquet,Williams Honda,1:25.443
Detroit,Nelson Piquet,Williams Honda,1:41.233
France,Nigel Mansell,Williams Honda,1:09.993
Great Britain,Nigel Mansell,Williams Honda,1:09.593
Germany,Gerhard Berger,Benetton BMW,1:46.604
Hungary,Nelson Piquet,Williams Honda,1:31.001
Austria,Gerhard Berger,Benetton BMW,1:29.444
Italy,Teo Fabi,Benetton BMW,1:28.099
Portugal,Nigel Mansell,Williams Honda,1:20.943
Mexico,Nelson Piquet,Williams Honda,1:19.360
Australia,Nelson Piquet,Williams Honda,1:20.787
